epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,212.598,1.35664,0.91462,0.00629,0.91157,0.84011,0.95914,0.67795,1.05612,0.53869,0.00616,0.000949263,0.000949263,0.000949263
43,217.506,1.28975,0.8743,0.00614,0.92885,0.84581,0.96753,0.69809,1.01543,0.58436,0.00585,0.000948025,0.000948025,0.000948025
44,222.325,1.28467,0.84234,0.00607,0.92139,0.83044,0.95257,0.67605,1.102,0.57607,0.00663,0.000946787,0.000946787,0.000946787
45,227.223,1.27941,0.864,0.0059,0.85812,0.88217,0.95222,0.68499,1.03686,0.55423,0.00615,0.00094555,0.00094555,0.00094555
46,232.157,1.28443,0.86107,0.00603,0.9029,0.90539,0.97175,0.69571,1.01582,0.46344,0.00591,0.000944313,0.000944313,0.000944313
47,237.225,1.2663,0.82098,0.00582,0.92798,0.93378,0.9748,0.70898,0.96422,0.4903,0.0056,0.000943075,0.000943075,0.000943075
48,242.201,1.29325,0.81055,0.00608,0.88205,0.91122,0.97214,0.70132,1.00002,0.44732,0.00588,0.000941838,0.000941838,0.000941838
49,247.161,1.28733,0.80772,0.00583,0.91004,0.90647,0.96852,0.6908,1.06137,0.51568,0.00628,0.0009406,0.0009406,0.0009406
50,252.128,1.29178,0.79701,0.00605,0.87819,0.9051,0.97433,0.68957,1.04194,0.49379,0.00618,0.000939362,0.000939362,0.000939362
51,257.045,1.28887,0.82279,0.00606,0.90471,0.89557,0.96471,0.70681,1.00984,0.49762,0.00598,0.000938125,0.000938125,0.000938125
52,261.995,1.21696,0.76785,0.00554,0.89352,0.89147,0.96854,0.71821,0.93138,0.48287,0.00538,0.000936888,0.000936888,0.000936888
53,266.934,1.25876,0.79431,0.00589,0.93572,0.90078,0.97475,0.70906,0.98569,0.42866,0.00586,0.00093565,0.00093565,0.00093565
54,271.843,1.25149,0.77846,0.006,0.92387,0.93248,0.98353,0.72194,0.99596,0.41403,0.00576,0.000934412,0.000934412,0.000934412
55,276.808,1.24333,0.77563,0.00583,0.94297,0.88882,0.97522,0.71224,0.98536,0.445,0.00569,0.000933175,0.000933175,0.000933175
56,281.743,1.23177,0.77836,0.00574,0.93429,0.8886,0.97587,0.71077,0.98123,0.44986,0.00572,0.000931938,0.000931938,0.000931938
57,286.648,1.22173,0.78176,0.00554,0.94079,0.86461,0.96904,0.71452,0.97834,0.47872,0.00594,0.0009307,0.0009307,0.0009307
58,291.58,1.20702,0.74105,0.00564,0.91806,0.93892,0.97829,0.72341,0.97451,0.42199,0.00562,0.000929462,0.000929462,0.000929462
59,296.6,1.23923,0.76534,0.00565,0.91451,0.93846,0.98019,0.69047,1.08766,0.43784,0.0064,0.000928225,0.000928225,0.000928225
60,301.534,1.22641,0.75646,0.00572,0.92621,0.90661,0.97376,0.70724,0.99887,0.45979,0.00583,0.000926987,0.000926987,0.000926987
